id,scenario,line_id,timestep,area_from,area_to,transmission,timestep_fractional
1069,1,2,2,2,1,0.0,0.4167
1069,1,2,2,2,1,0.0,0.4333
1069,1,2,2,2,1,0.0,0.45
1069,1,2,2,2,1,0.0,0.4667
1069,1,2,2,2,1,0.0,0.4833
1069,1,2,2,2,1,0.0,0.5
1080,1,2,3,2,1,0.0,0.5167
1080,1,2,3,2,1,0.0,0.5333
1080,1,2,3,2,1,0.0,0.55
1080,1,2,3,2,1,0.0,0.5667
1080,1,2,3,2,1,0.0,0.5833
1080,1,2,3,2,1,0.0,0.6
1080,1,2,3,2,1,0.0,0.6167
1080,1,2,3,2,1,0.0,0.6333
1080,1,2,3,2,1,0.0,0.65
1080,1,2,3,2,1,0.0,0.6667
1080,1,2,3,2,1,0.0,0.6833
1080,1,2,3,2,1,0.0,0.7
1080,1,2,3,2,1,0.0,0.7167
1080,1,2,3,2,1,0.0,0.7333
1080,1,2,3,2,1,0.0,0.75
1091,1,2,4,2,1,0.0,0.7667
1091,1,2,4,2,1,0.0,0.7833
1091,1,2,4,2,1,0.0,0.8
1091,1,2,4,2,1,0.0,0.8167
