timestep,plant_id,scenario,discharge,bypass,spill,controlled_inflow,controlled_outflow,volume,volume_res
5,49901,3,0.7806289999100346,0.0,0.0,0.7806289999100346,0.7806289999100346,1.4758601748110494e-17,0.0
5,49902,1,0.7806289999100346,0.0,0.0,0.0,0.7806289999100346,439.4598959303837,438.81060608132634
5,49902,2,0.0,0.0,0.0,0.0,0.0,500.0,500.0
5,49902,3,0.7806289999100346,0.0,0.0,0.0,0.7806289999100346,443.8196251333454,443.17033528428794
5,49903,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,49903,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,49903,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,49904,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,49904,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,49904,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,49905,1,0.0,0.0,0.0,0.0,0.0,500.0,500.0
5,49905,2,0.0,0.0,0.0,0.0,0.0,500.0,500.0
5,49905,3,0.0,0.0,0.0,0.0,0.0,500.0,500.0
5,49906,1,88.10059821690655,0.0,0.0,10.0,88.10059821690655,174359.68344827616,174320.46184894236
5,49906,2,0.0,0.0,0.0,0.0,0.0,174725.0,174725.0
5,49906,3,38.17536552992056,0.0,0.0,0.0,38.17536552992056,174513.838888661,174494.69097966581
5,49907,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,49907,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,49907,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,49908,1,10.0,0.0,0.0,0.0,10.0,9305.005,9300.0
5,49908,2,0.0,0.0,0.0,0.0,0.0,9350.0,9350.0
5,49908,3,0.0,0.0,0.0,0.0,0.0,9350.0,9350.0
5,49911,1,0.0,0.0,0.0,0.0,0.0,18500.0,18500.0
5,49911,2,0.0,0.0,0.0,13.0,0.0,18558.4935,18565.0
5,49911,3,0.0,0.0,0.0,13.0,0.0,18558.4935,18565.0
5,49912,1,0.0,0.0,0.0,0.0,0.0,32500.000000000004,32500.000000000004
5,49912,2,0.0,0.0,0.0,0.0,0.0,32500.000000000004,32500.000000000004
5,49912,3,0.0,0.0,0.0,0.0,0.0,32500.000000000004,32500.000000000004
5,49913,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,49913,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,49913,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,49914,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,49914,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,49914,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,49915,1,0.0,0.0,0.0,0.0,0.0,3000.0,3000.0
5,49915,2,13.0,0.0,0.0,0.0,13.0,2941.5064999999995,2935.0
5,49915,3,13.0,0.0,0.0,0.0,13.0,2941.5064999999995,2935.0
5,49920,1,0.0,0.0,0.0,0.0,0.0,1961.676660461876,1961.6766604619156
5,49920,2,0.0,0.0,0.0,0.0,0.0,2000.0,2000.0
5,49920,3,0.0,0.0,0.0,0.0,0.0,1961.676660461876,1961.6766604619156
5,49921,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,49921,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,49921,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,49922,1,0.0,0.0,0.0,0.0,0.0,500.0,500.0
5,49922,2,0.0,0.0,0.0,0.0,0.0,500.0,500.0
5,49922,3,0.0,0.0,0.0,0.0,0.0,500.0,500.0
5,49923,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,49923,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,49923,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,49924,1,0.0,0.0,0.0,0.0,0.0,18650.0,18650.0
5,49924,2,0.0,0.0,0.0,0.0,0.0,18650.0,18650.0
