timestep,plant_id,scenario,production,up_activation,down_activation,area,fuel_type,status,startup
4,49904,3,0.0,0.0,0.0,3,Hydro,0,0
4,49905,1,0.0,0.0,0.0,3,Hydro,0,0
4,49905,2,0.0,0.0,0.0,3,Hydro,0,0
4,49905,3,0.0,0.0,0.0,3,Hydro,0,0
4,49906,1,116.28,0.0,2.7526099999999922,3,Hydro,0,0
4,49906,2,0.0,0.0,119.03612000000017,3,Hydro,0,0
4,49906,3,50.44,0.0,68.59958000000012,3,Hydro,0,0
4,49907,1,0.0,0.0,0.0,3,Hydro,0,0
4,49907,2,0.0,0.0,0.0,3,Hydro,0,0
4,49907,3,0.0,0.0,0.0,3,Hydro,0,0
4,49908,1,0.0,0.0,0.0,3,Hydro,0,0
4,49908,2,0.0,0.0,0.0,3,Hydro,0,0
4,49908,3,0.0,0.0,0.0,3,Hydro,0,0
4,49911,1,0.0,0.0,0.0,3,Hydro,0,0
4,49911,2,0.0,0.0,0.0,3,Hydro,0,0
4,49911,3,0.0,0.0,0.0,3,Hydro,0,0
4,49912,1,0.0,0.0,0.0,3,Hydro,0,0
4,49912,2,0.0,0.0,0.0,3,Hydro,0,0
4,49912,3,0.0,0.0,0.0,3,Hydro,0,0
4,49913,1,0.0,0.0,0.0,3,Hydro,0,0
4,49913,2,0.0,0.0,0.0,3,Hydro,0,0
4,49913,3,0.0,0.0,0.0,3,Hydro,0,0
4,49914,1,0.0,0.0,0.0,3,Hydro,0,0
4,49914,2,0.0,0.0,0.0,3,Hydro,0,0
4,49914,3,0.0,0.0,0.0,3,Hydro,0,0
4,49915,1,0.0,0.0,0.0,3,Hydro,0,0
4,49915,2,0.0,0.0,0.0,3,Hydro,0,0
4,49915,3,0.0,0.0,0.0,3,Hydro,0,0
4,49920,1,0.0,0.0,0.0,3,Hydro,0,0
4,49920,2,0.0,0.0,0.0,3,Hydro,0,0
4,49920,3,0.0,0.0,0.0,3,Hydro,0,0
4,49921,1,0.0,0.0,0.0,3,Hydro,0,0
4,49921,2,0.0,0.0,0.0,3,Hydro,0,0
4,49921,3,0.0,0.0,0.0,3,Hydro,0,0
4,49922,1,0.0,0.0,0.0,3,Hydro,0,0
4,49922,2,0.0,0.0,0.0,3,Hydro,0,0
4,49922,3,0.0,0.0,0.0,3,Hydro,0,0
4,49923,1,0.0,0.0,0.0,3,Hydro,0,0
4,49923,2,0.0,0.0,0.0,3,Hydro,0,0
4,49923,3,0.0,0.0,0.0,3,Hydro,0,0
4,49924,1,0.0,0.0,0.0,3,Hydro,0,0
4,49924,2,0.0,0.0,0.0,3,Hydro,0,0
4,49924,3,0.0,0.0,0.0,3,Hydro,0,0
4,49925,1,0.0,0.0,0.0,3,Hydro,0,0
4,49925,2,0.0,0.0,0.0,3,Hydro,0,0
4,49925,3,0.0,0.0,0.0,3,Hydro,0,0
4,49927,1,0.0,0.0,0.0,3,Hydro,0,0
4,49927,2,0.0,0.0,0.0,3,Hydro,0,0
4,49927,3,0.0,0.0,0.0,3,Hydro,0,0
