Imbalance continuous;Imbalance discrete;timestep_fractional;;;;;;;;;;;
3.58;20.1;0;;21.017392;32.2;;;;Column1;Discrete;Continuous;Column2;Column3
0.4473745;20.1;6.05;;7.895778485;11.5;;;;;;;;
0.259091753;20.1;6.0667;;7.890582567;11.5;;;;;;;;
0.113221451;20.1;6.0833;;7.868796296;11.5;;;;;;;;
2.348312;17.1;6.1;;7.846812642;11.5;;;;;;;;
1.66095129;17.1;6.1167;;7.841943791;11.5;;;;;;;;
0.841337679;17.1;6.1333;;7.822860333;11.5;;;;;;;;
0.0945055;17.1;6.15;;7.80254999;11.5;;;;;;;;
1.13117284;17.1;6.1667;;7.789008;11.5;;;;;;;;
13.54612314;1.3;6.1833;;7.78641835;11.4;;;;;;;;
12.351552;1.3;6.2;;7.75556703;11.4;;;;;;;;
11.09866536;1.3;6.2167;;7.747367039;11.4;;;;;;;;
9.800396938;1.3;6.2333;;7.737166025;11.4;;;;;;;;
8.4690625;1.3;6.25;;7.730727937;11.4;;;;;;;;
0.683640099;9.1;6.2667;;7.67;11.2;;;;;;;;
2.046630932;9.1;6.2833;;7.659315;11.2;;;;;;;;
3.409448;9.1;6.3;;7.65875;11.2;;;;;;;;
4.762247228;9.1;6.3167;;7.656624071;11.2;;;;;;;;
6.095802469;9.1;6.3333;;7.64;11.2;;;;;;;;
3.7984945;2.1;6.35;;7.617407407;11.1;;;;;;;;
2.528633975;2.1;6.3667;;7.608010909;11.1;;;;;;;;
1.301988327;2.1;6.3833;;7.600897473;11.1;;;;;;;;
0.125312;2.1;6.4;;7.596682063;11.1;;;;;;;;
0.995258488;2.1;6.4167;;7.566208;11.1;;;;;;;;
8.345795457;12.5;6.4333;;7.551471012;11.1;;;;;;;;
7.3533745;12.5;6.45;;7.495364101;11.1;;;;;;;;
6.431761383;12.5;6.4667;;7.492707934;11.1;;;;;;;;
5.58462092;12.5;6.4833;;7.467801877;11.1;;;;;;;;
4.815;12.5;6.5;;7.465691296;11.1;;;;;;;;
10.77467241;2.4;6.5167;;7.454367905;11;;;;;;;;
11.38258528;2.4;6.5333;;7.421204358;11;;;;;;;;
11.9075455;2.4;6.55;;7.420637;11;;;;;;;;
12.34897788;2.4;6.5667;;7.408055556;11;;;;;;;;
12.70692515;2.4;6.5833;;7.386607832;11;;;;;;;;
1.617952;12.2;6.6;;7.3533745;10.8;;;;;;;;
1.424374994;12.2;6.6167;;7.350432;10.8;;;;;;;;
1.310447309;12.2;6.6333;;7.331696;10.8;;;;;;;;
1.2736545;12.2;6.65;;7.317241108;10.8;;;;;;;;
1.310864198;12.2;6.6667;;7.297243062;10.8;;;;;;;;
9.581673895;1.2;6.6833;;7.29083912;10.8;;;;;;;;
9.408328;1.2;6.7;;7.265710654;10.8;;;;;;;;
9.174084265;1.2;6.7167;;7.263432961;10.8;;;;;;;;
8.884546765;1.2;6.7333;;7.260813062;10.8;;;;;;;;
8.5459375;1.2;6.75;;7.25141575;10.8;;;;;;;;
1.365096395;8;6.7667;;7.228158;10.6;;;;;;;;
0.949481302;8;6.7833;;7.211767458;10.6;;;;;;;;
0.507168;8;6.8;;7.211376395;10.6;;;;;;;;
